,nama,jarak tempuh,nama dealer,rate,banyak review,harga
163,2019 Mercedes-Benz GLA 250 Base 4MATIC,"32,640 mi.",Mercedes-Benz of Akron,4.6,(75 reviews),"$27,999"
164,2020 Mercedes-Benz GLE 580 AWD 4MATIC,"20,869 mi.",Mercedes-Benz of Bakersfield,n/a,(541 reviews),"$78,991"
165,2021 Mercedes-Benz AMG GLA 35 Base,"9,836 mi.",Mercedes-Benz of Lancaster,4.8,(172 reviews),"$42,990"
166,2022 Mercedes-Benz G-Class G 550 4MATIC,"6,358 mi.",Mercedes-Benz of Valencia,4.3,"(1,122 reviews)","$167,999"
167,2022 Mercedes-Benz CLA 250 Base 4MATIC,"4,659 mi.",Mercedes-Benz of Wilmington,4.5,"(1,793 reviews)","$42,900"
168,2018 Mercedes-Benz AMG C 43 Base 4MATIC,"13,245 mi.",Mercedes-Benz of Novi,4.6,(788 reviews),"$44,500"
169,2020 Mercedes-Benz AMG GLC 43 4MATIC Coupe,"39,841 mi.",Napleton Autowerks Loves Park,4.9,(842 reviews),"$53,330"
170,2018 Mercedes-Benz GLE 350 Base 4MATIC,"91,574 mi.",Mercedes-Benz of Ft. Pierce,3.9,(243 reviews),"$25,885"
171,2022 Mercedes-Benz AMG CLA 45 Base 4MATIC,"9,642 mi.",Mercedes-Benz of Temecula,4.0,"(1,397 reviews)","$63,991"
172,2020 Mercedes-Benz AMG C 43 Base 4MATIC,"13,213 mi.",James Motor Company,n/a,(194 reviews),"$51,624"
173,2022 Mercedes-Benz GLS 450 4MATIC,"7,860 mi.",Mercedes-Benz of West Houston,4.7,(73 reviews),"$79,994"
174,2022 Mercedes-Benz GLB 250 Base 4MATIC,"10,181 mi.",Bergstrom Luxury on Victory Lane,4.2,(292 reviews),"$44,624"
175,2022 Mercedes-Benz AMG GLC 43 Base 4MATIC,"15,520 mi.",Mercedes-Benz of Novi,4.6,(788 reviews),"$63,000"
176,2020 Mercedes-Benz GLE 350 Base,"37,591 mi.",Mercedes-Benz Of Tampa,4.1,"(3,520 reviews)","$46,470"
177,2020 Mercedes-Benz CLS 450 Base 4MATIC,"13,353 mi.",Mercedes-Benz of Littleton,4.6,"(1,153 reviews)","$58,899"
178,2020 Mercedes-Benz E-Class E 350,"18,395 mi.",Mercedes-Benz of Melbourne,n/a,(177 reviews),"$40,900"
179,2020 Mercedes-Benz AMG A 35 Base,"22,889 mi.",House of Imports,4.7,"(1,756 reviews)","$41,633"
